handle,make,model,trim,fuel,msrp,doors,horsepower,acceleration,model_year,form_factor,battery_capacity,ac_charging_power,dc_charging_power,seats_min,seats_max,cargo_volume_min,cargo_volume_max,electric_range,total_range,electric_efficiency,gvwr,curb_weight,display_name,drivetrain,fossil_fuel_efficiency,locally_available,plug_types,towing_capacity
Jeep_Wrangler_4xe_Willys_PHEV_2024_CA,Jeep,Wrangler PHEV 4xe,4-Door Willys,PHEV,64995,4,375,7.8,2024,SUV,17,7.0,0.0,5,5,898,2050,35,592,42.0,2950.0,1949.0,Wrangler PHEV 4xe 4-Door Willys,4-Wheel Drive,12.0,1,['J1772'],
Kia_EV6_GT_AWD_BEV_2024_CA,Kia,EV6,GT AWD,BEV,76495,4,576,3.4,2024,Crossover,77,11.0,350.0,2,5,690,1360,332,332,26.0,2600.0,2175.0,EV6 GT AWD,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Kia_EV6_Land_AWD_BEV_2024_CA,Kia,EV6,Land AWD,BEV,58495,4,320,5.1,2024,Crossover,77,11.0,350.0,2,5,690,1322,454,454,19.0,2520.0,2107.0,EV6 Land AWD,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Kia_EV6_Wind_RWD_BEV_2024_CA,Kia,EV6,Wind RWD,BEV,55995,4,225,7.0,2024,Crossover,77,11.0,350.0,2,5,690,1322,499,499,18.0,2420.0,1990.0,EV6 Wind RWD,Rear-Wheel Drive,,1,"['CCS1', 'J1772']",
Kia_EV9_Land_AWD_BEV_2024_CA,Kia,EV9,Land AWD,BEV,64995,4,379,5.7,2024,SUV,99,11.0,350.0,2,7,573,2314,451,451,26.0,3220.0,2563.0,EV9 Land AWD,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Kia_EV9_Light_RWD_BEV_2024_CA,Kia,EV9,Light RWD,BEV,59995,4,215,7.7,2024,SUV,76,11.0,350.0,2,7,573,2314,370,370,24.0,2910.0,2310.0,EV9 Light RWD,Rear-Wheel Drive,,1,"['CCS1', 'J1772']",
Kia_EV9_Wind_RWD_BEV_2024_CA,Kia,EV9,Wind RWD,BEV,62995,4,201,5.7,2024,SUV,99,11.0,350.0,2,7,573,2314,489,489,24.0,3030.0,2418.0,EV9 Wind RWD,Rear-Wheel Drive,,1,"['CCS1', 'J1772']",
Kia_Niro_EV_BEV_2024_CA,Kia,Niro EV,Wind,BEV,45595,4,201,7.8,2024,Crossover,64,11.0,350.0,2,5,646,1805,407,407,19.0,2170.0,1725.0,Niro EV Wind,Front-Wheel Drive,,1,"['CCS1', 'J1772']",
Kia_Niro_EX_PHEV_2024_CA,Kia,Niro Plug-In Hybrid,EX,PHEV,38595,4,180,9.6,2024,Crossover,11,3.0,,2,5,550,1546,55,836,19.0,2040.0,1586.0,Niro Plug-In Hybrid EX,Front-Wheel Drive,5.0,1,"['CCS1', 'J1772']",
Kia_Sorento_EX_PHEV_2024_CA,Kia,Sorento Plug-In Hybrid,EX,PHEV,42975,4,261,9.1,2024,Crossover,14,4.0,,5,6,357,2139,51,681,26.0,2700.0,2064.0,Sorento Plug-In Hybrid EX,All-Wheel Drive,7.0,1,['J1772'],
Kia_Sportage_EX_Premium_PHEV_2024_CA,Kia,Sportage Plug-In Hybrid,EX Premium,PHEV,46695,4,261,8.2,2024,Crossover,13,7.0,,5,5,977,1855,55,687,25.0,2420.0,1937.0,Sportage Plug-In Hybrid EX Premium,All-Wheel Drive,7.0,1,['J1772'],
Lexus_NX_450h_Plus_PHEV_2024_CA,Lexus,NX,450h+,PHEV,63186,4,304,6.2,2024,Crossover,18,7.0,0.0,5,5,643,1328,61,835,25.0,2540.0,1990.0,NX 450h+,All-Wheel Drive,7.0,1,['J1772'],
Lexus_RX_450h+_PHEV_2024_CA,Lexus,RX,450h+,PHEV,90235,4,304,6.2,2024,Crossover,18,7.0,,5,5,838,1308,60,878,25.0,2720.0,2155.0,RX 450h+,All-Wheel Drive,7.0,1,['J1772'],
Lexus_RZ_450e_BEV_2024_CA,Lexus,RZ 450e,Signature,BEV,64900,4,308,5.3,2024,Crossover,71,7.0,150.0,5,5,966,1515,354,354,20.0,2640.0,2070.0,RZ 450e Signature,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Lucid_Air_Sapphire_BEV_2024_CA,Lucid,Air,Sapphire,BEV,327300,4,1234,2.0,2024,Sedan,112,19.0,300.0,5,5,627,627,687,687,17.0,,2375.0,Air Sapphire,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Mazda_CX_90_PHEV_2024_CA,Mazda,CX-90,GS,PHEV,54900,4,323,6.3,2024,SUV,17,7.0,0.0,2,8,423,2101,42,789,36.0,2911.0,2344.0,CX-90 GS,All-Wheel Drive,9.0,1,['J1772'],0.0
Mazda_MX-30_GS_EV_BEV_2024_CA,Mazda,MX-30,GS,BEV,42650,4,143,9.7,2024,Crossover,35,7.0,40.0,2,5,431,1053,161,161,23.0,0.0,1658.0,MX-30 EV GS,Front-Wheel Drive,0.0,1,"['CCS1', 'J1772']",0.0
Mazda_MX-30_GT_EV_BEV_2024_CA,Mazda,MX-30,GT,BEV,47650,4,143,9.7,2024,Crossover,35,7.0,40.0,2,5,405,1028,161,161,23.0,0.0,1658.0,MX-30 EV GT,Front-Wheel Drive,0.0,1,"['CCS1', 'J1772']",0.0
Mercedes-Benz_AMG_EQE_4Matic_Plus_SUV_BEV_2024_CA,Mercedes-Benz,AMG EQE SUV,,BEV,128900,4,617,3.7,2024,SUV,90,10.0,170.0,2,5,520,1675,378,378,24.0,3195.0,2626.0,AMG EQE SUV,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",
Mercedes-Benz_EQB_250_Plus_SUV_BEV_2024_CA,Mercedes-Benz,EQB250+,SUV,BEV,59990,4,188,8.9,2024,SUV,70,10.0,100.0,2,5,495,1720,359,359,22.0,0.0,2040.0,EQB250+,Front-Wheel Drive,0.0,1,"['CCS1', 'J1772']",0.0
Mercedes-Benz_EQB_300_4MATIC_SUV_BEV_2024_CA,Mercedes-Benz,EQB300,4MATIC SUV,BEV,64990,4,225,8.0,2024,SUV,70,10.0,100.0,2,5,495,1720,330,330,24.0,0.0,2175.0,EQB300 4MATIC SUV,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",0.0
Mercedes-Benz_GLE_450e_PHEV_2024_CA,Mercedes-Benz,GLE-Class,GLE450e,PHEV,90100,4,381,6.1,2024,SUV,23,10.0,60.0,2,5,630,2055,77,740,36.0,3000.0,2648.0,GLE-Class GLE450e,All-Wheel Drive,10.0,1,"['CCS1', 'J1772']",
MINI_Cooper_SE_3_Door_Premier_2.0_BEV_2024_CA,MINI,Cooper SE 3 Door,Premier 2.0,BEV,48190,3,181,3.9,2024,Hatchback,32,7.0,50.0,4,4,211,731,183,183,19.0,1775.0,1430.0,Cooper SE 3 Door Premier 2.0,Front-Wheel Drive,,1,"['CCS1', 'J1772']",
Mitsubishi_Outlander_ES_S-AWC_PHEV_2024_CA,Mitsubishi,Outlander PHEV,ES S-AWC,PHEV,48198,4,248,7.05,2024,Crossover,20,4.0,22.0,2,7,362,1832,61,687,32.0,2750.0,2090.0,Outlander PHEV ES S-AWC,All-Wheel Drive,9.0,1,"['CHAdeMO', 'J1772']",0.0
Nissan_Ariya_Engage_FWD_BEV_2024_CA,Nissan,Ariya,Engage FWD,BEV,52998,4,214,7.5,2024,Crossover,63,7.0,160.0,2,5,646,1691,348,348,21.0,2400.0,1960.0,Ariya Engage FWD,Front-Wheel Drive,,1,"['CCS1', 'J1772']",
Nissan_Ariya_Evolve_E-4ORCE_BEV_2024_CA,Nissan,Ariya,Evolve E-4ORCE,BEV,59998,4,335,5.7,2024,Crossover,63,7.0,250.0,2,5,646,1691,330,330,22.0,2665.0,1960.0,Ariya Evolve E-4ORCE,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Nissan_Ariya_Evolve+_E_4orce_BEV_2024_CA,Nissan,Ariya,Evolve+ E-4orce,BEV,64998,4,389,7.6,2024,Crossover,87,7.0,290.0,2,5,646,1691,438,438,23.0,2530.0,2252.0,Ariya Evolve+ E-4orce,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Nissan_Ariya_Evolve+_FWD_BEV_2024_CA,Nissan,Ariya,Evolve+ FWD,BEV,62998,4,238,0.0,2024,SUV,87,7.0,178.0,2,5,646,1691,465,465,21.0,2560.0,2120.0,Ariya Evolve+ FWD,Front-Wheel Drive,,1,"['CCS1', 'J1772']",
Nissan_LEAF__BEV_2024_CA,Nissan,LEAF,SV,BEV,41748,4,147,7.7,2024,Hatchback,40,7.0,50.0,2,5,668,850,240,240,17.0,2045.0,1595.0,LEAF SV,Front-Wheel Drive,,1,"['CHAdeMO', 'J1772']",
Nissan_LEAF_SV-PLUS_BEV_2024_CA,Nissan,LEAF,SV-PLUS,BEV,47498,4,214,7.7,2024,Hatchback,60,7.0,100.0,2,5,668,850,342,342,18.0,2210.0,1782.0,LEAF SV-PLUS,Front-Wheel Drive,,1,"['CHAdeMO', 'J1772']",
Subaru_Solterra_BEV_2024_CA,Subaru,Solterra,AWD,BEV,56495,4,215,6.9,2024,SUV,72,7.0,100.0,5,5,674,1798,359,359,20.0,2549.0,1975.0,Solterra AWD,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Tesla_Model_3_Long_Range_AWD_BEV_2024_CA,Tesla,Model 3,Long Range AWD,BEV,59990,4,384,4.4,2024,Sedan,80,11.0,250.0,5,5,682,682,549,549,16.0,2301.0,1828.0,Model 3 Long Range AWD,All-Wheel Drive,0.0,1,"['Tesla', 'NACS']",
Tesla_Model_3_Performance_AWD_BEV_2024_CA,Tesla,Model 3,Performance AWD,BEV,69990,4,510,3.1,2024,Sedan,81,11.0,250.0,5,5,561,561,476,476,17.0,2301.0,1839.0,Model 3 Performance AWD,All-Wheel Drive,0.0,1,"['Tesla', 'NACS']",
Tesla_Model_3_RWD_BEV_2024_CA,Tesla,Model 3,RWD,BEV,49990,4,283,6.1,2024,Sedan,60,11.0,170.0,5,5,682,682,438,438,16.0,2060.0,1765.0,Model 3 RWD,Rear-Wheel Drive,0.0,1,"['Tesla', 'NACS']",
Tesla_Model_S_AWD_BEV_2024_CA,Tesla,Model S,AWD,BEV,103990,4,670,3.2,2024,Sedan,113,12.0,250.0,5,5,793,793,647,647,17.0,2495.0,2068.0,Model S AWD,All-Wheel Drive,0.0,1,"['Tesla', 'NACS']",0.0
Tesla_Model_S_Plaid_BEV_2024_CA,Tesla,Model S,Plaid,BEV,124990,4,1020,2.1,2024,Sedan,113,12.0,250.0,5,5,793,793,578,578,20.0,2495.0,2167.0,Model S Plaid,All-Wheel Drive,0.0,1,"['Tesla', 'NACS']",0.0
Tesla_Model_X_AWD_BEV_2024_CA,Tesla,Model X,AWD,BEV,110990,4,670,3.9,2024,Crossover,113,11.0,250.0,6,6,1050,1050,539,539,21.0,2655.0,2335.0,Model X AWD,All-Wheel Drive,0.0,1,"['Tesla', 'NACS']",0.0
Tesla_Model_X_Plaid_BEV_2024_CA,Tesla,Model X,Plaid,BEV,131990,4,1020,2.6,2024,Crossover,113,11.0,250.0,6,6,425,425,525,525,22.0,2755.0,2462.0,Model X Plaid,All-Wheel Drive,0.0,1,"['Tesla', 'NACS']",0.0
Tesla_Model_Y_Long_Range_AWD_BEV_2024_CA,Tesla,Model Y,Long Range AWD,BEV,63990,4,384,5.0,2024,Crossover,78,11.0,250.0,7,7,2158,2158,497,497,18.0,2619.0,1979.0,Model Y Long Range AWD,All-Wheel Drive,,1,"['Tesla', 'NACS']",
Tesla_Model_Y_Performance_BEV_2024_CA,Tesla,Model Y,Performance,BEV,68990,4,456,3.7,2024,Crossover,78,11.0,250.0,5,5,2158,2158,459,459,19.0,2532.0,1979.0,Model Y Performance,All-Wheel Drive,,1,"['Tesla', 'NACS']",
Tesla_Model_Y_Standard_Range_RWD_BEV_2024_CA,Tesla,Model Y,Standard Range RWD,BEV,53990,4,283,6.9,2024,Crossover,60,11.0,170.0,5,5,2158,2158,418,418,17.0,2456.0,1909.0,Model Y Standard Range RWD,Rear-Wheel Drive,,1,"['Tesla', 'NACS']",
Toyota_bZ4X_LE_FWD_BEV_2024_CA,Toyota,bZ4X,LE,BEV,49990,4,201,7.5,2024,Crossover,71,7.0,150.0,5,5,784,784,406,406,18.0,2465.0,1920.0,bZ4X LE,Front-Wheel Drive,,1,"['CCS1', 'J1772']",
Toyota_bZ4X_XLE_AWD_BEV_2024_CA,Toyota,bZ4X,XLE,BEV,55050,4,214,6.9,2024,Crossover,72,7.0,150.0,5,5,784,784,367,367,20.0,2549.0,2000.0,bZ4X XLE,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Toyota_Prius_Prime_SE_PHEV_2024_CA,Toyota,Prius Prime,SE,PHEV,39550,4,220,6.8,2024,Hatchback,8,7.0,0.0,2,5,575,756,72,962,16.0,2030.0,1570.0,Prius Prime SE,Front-Wheel Drive,4.0,1,['J1772'],
Toyota_Prius_Prime_XSE_PHEV_2024_CA,Toyota,Prius Prime,XSE,PHEV,44290,4,220,7.2,2024,Hatchback,13,7.0,,5,5,575,575,72,816,19.0,2030.0,1595.0,Prius Prime XSE,Front-Wheel Drive,5.0,1,['J1772'],
Toyota_Prius_Prime_XSE_Premium_PHEV_2024_CA,Toyota,Prius Prime,XSE Premium,PHEV,48050,4,220,7.2,2024,Hatchback,13,7.0,,5,5,575,575,72,816,19.0,2030.0,1620.0,Prius Prime XSE Premium,Front-Wheel Drive,5.0,1,['J1772'],
Toyota_RAV4_Prime_SE_PHEV_2024_CA,Toyota,RAV4 Prime,SE AWD,PHEV,51150,4,302,6.2,2024,Crossover,18,7.0,0.0,2,5,949,1790,68,979,22.0,2508.0,1920.0,RAV4 Prime SE AWD,All-Wheel Drive,6.0,1,['J1772'],
Toyota_RAV4_Prime_XSE_PHEV_2024_CA,Toyota,RAV4 Prime,XSE AWD,PHEV,55990,4,302,6.2,2024,Crossover,18,7.0,,5,5,949,949,68,950,27.0,2508.0,1950.0,RAV4 Prime XSE AWD,All-Wheel Drive,6.0,1,['J1772'],
Toyota_RAV4_Prime_XSE_Technology_PHEV_2024_CA,Toyota,RAV4 Prime,XSE AWD Technology,PHEV,61380,4,302,6.2,2024,Crossover,18,7.0,,5,5,949,949,68,916,27.0,2508.0,1950.0,RAV4 Prime XSE AWD Technology,All-Wheel Drive,6.0,1,['J1772'],
VinFast_VF8_Eco_BEV_2024_CA,VinFast,VF8,Eco,BEV,53600,4,349,5.9,2024,Crossover,88,11.0,150.0,5,5,1373,1373,425,425,28.0,0.0,2540.0,VF8 Eco,All-Wheel Drive,,1,"['CCS1', 'J1772']",
VinFast_VF8_Plus_BEV_2024_CA,VinFast,VF8,Plus,BEV,59200,4,402,5.9,2024,Crossover,88,11.0,150.0,5,5,1373,1373,356,356,30.0,0.0,2600.0,VF8 Plus,All-Wheel Drive,,1,"['CCS1', 'J1772']",
VinFast_VF9_Eco_BEV_2024_CA,VinFast,VF9,Eco,BEV,74890,4,402,6.5,2024,Crossover,123,11.0,150.0,7,7,0,0,531,531,28.0,0.0,0.0,VF9 Eco,All-Wheel Drive,,1,"['CCS1', 'J1772']",
VinFast_VF9_Plus_BEV_2024_CA,VinFast,VF9,Plus,BEV,78890,4,402,6.5,2024,Crossover,123,11.0,150.0,7,7,0,0,468,468,30.0,0.0,0.0,VF9 Plus,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Volkswagen_ID.4_BEV_2024_CA,Volkswagen,ID.4, ,BEV,48495,4,201,7.9,2024,Crossover,62,11.0,140.0,5,5,858,1818,332,332,20.0,2530.0,1963.0,ID.4,Rear-Wheel Drive,,1,"['CCS1', 'J1772']",
Volkswagen_ID.4_Pro_BEV_2024_CA,Volkswagen,ID.4,Pro,BEV,52995,4,282,6.4,2024,Crossover,62,11.0,175.0,5,5,858,1818,468,468,18.0,2650.0,2091.0,ID.4 Pro,Rear-Wheel Drive,,1,"['CCS1', 'J1772']",
Volkswagen_ID.4_Pro_AWD_BEV_2024_CA,Volkswagen,ID.4,Pro AWD,BEV,57995,4,335,5.3,2024,Crossover,82,11.0,175.0,5,5,858,1818,423,423,20.0,2730.0,2189.0,ID.4 Pro AWD,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Volvo_C40_Recharge_Single_Pure_Electric_BEV_2024_CA,Volvo,C40 Recharge,Single Motor,BEV,59950,4,248,7.3,2024,Crossover,69,11.0,200.0,2,5,404,1205,478,478,20.0,2460.0,2042.0,C40 Recharge Single Motor,Rear-Wheel Drive,0.0,1,"['CCS2', 'J1772']",
Volvo_C40_Recharge_Twin_Pure_Electric_BEV_2024_CA,Volvo,C40 Recharge,Twin Motor,BEV,63500,4,402,4.7,2024,Crossover,82,11.0,200.0,2,5,404,1205,414,414,21.0,2640.0,2129.0,C40 Recharge Twin Motor,All-Wheel Drive,0.0,1,"['CCS2', 'J1772']",
Volvo_EC40_Single_Motor_BEV_2025_CA,Volvo,EC40,Core Single Motor,BEV,59950,4,248,7.3,2025,Crossover,82,10.0,175.0,2,5,404,1205,408,408,20.0,2500.0,2042.0,EC40 Core Single Motor,Rear-Wheel Drive,0.0,1,"['CCS1', 'J1772']",900.0
Volvo_EC40_Twin_Motor_BEV_2025_CA,Volvo,EC40,Core Twin Motor,BEV,63500,4,402,4.7,2025,Crossover,82,10.0,175.0,2,5,404,1205,431,431,22.0,2620.0,2129.0,EC40 Core Twin Motor,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",900.0
Volvo_EC40_Black_Edition_BEV_2025_CA,Volvo,EC40,Ultra Black Edition,BEV,76750,4,402,4.7,2025,Crossover,82,10.0,175.0,2,5,404,1205,431,431,22.0,2620.0,2135.0,EC40 Ultra Black Edition,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",900.0
Volvo_EX30_Single_Motor_Extended_Range_BEV_2025_CA,Volvo,EX30,Ultra Single Motor Extended Range,BEV,59100,4,268,5.3,2025,Crossover,69,11.0,153.0,2,5,318,904,420,420,18.0,2240.0,1810.0,EX30 Ultra Single Motor Extended Range,Rear-Wheel Drive,0.0,1,"['CCS1', 'J1772']",900.0
Volvo_EX30_Twin_Motor_Performance_BEV_2025_CA,Volvo,EX30,Ultra Twin Motor Performance,BEV,62100,4,422,3.6,2025,Crossover,69,11.0,153.0,2,5,318,904,402,402,19.0,2335.0,1920.0,EX30 Ultra Twin Motor Performance,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",900.0
Volvo_EX90_Twin_Motor_Performance_BEV_2025_CA,Volvo,EX90,Plus Twin Motor Performance,BEV,115600,4,510,4.9,2025,SUV,111,11.0,250.0,2,7,310,1915,499,499,25.0,3390.0,2825.0,EX90 Plus Twin Motor Performance,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",2200.0
Volvo_S60_Recharge_PHEV_2025_CA,Volvo,S60,Recharge Core,PHEV,54950,4,455,4.5,2025,Sedan,18,4.0,0.0,5,5,391,391,64,856,27.0,2500.0,2011.0,S60 Recharge Core,All-Wheel Drive,8.0,1,['J1772'],0.0
Volvo_S60_Recharge_Black_Edition_PHEV_2025_CA,Volvo,S60,Recharge Ultra Black Edition,PHEV,72050,4,455,4.5,2025,Sedan,18,4.0,0.0,5,5,391,391,64,856,27.0,2500.0,2011.0,S60 Recharge Ultra Black Edition,All-Wheel Drive,8.0,1,['J1772'],0.0
Volvo_S90_Recharge_PHEV_2025_CA,Volvo,S90,Recharge Plus,PHEV,79250,4,455,4.8,2025,Sedan,18,4.0,0.0,5,5,436,436,61,809,30.0,2620.0,2099.0,S90 Recharge Plus,All-Wheel Drive,8.0,1,['J1772'],0.0
Volvo_V60_Recharge_PHEV_2025_CA,Volvo,V60,Recharge Polestar Engineered,PHEV,85000,4,455,4.6,2025,Station Wagon,18,6.0,0.0,2,5,471,1431,64,856,27.0,2530.0,2032.0,V60 Recharge Polestar Engineered,All-Wheel Drive,8.0,1,['J1772'],0.0
Volvo_XC40_Recharge_Single_Motor_BEV_2024_CA,Volvo,XC40 Recharge,Single Motor,BEV,59950,4,248,7.3,2024,Crossover,69,11.0,200.0,2,5,452,1328,472,472,20.0,2470.0,2123.0,XC40 Recharge Single Motor,Rear-Wheel Drive,,1,"['CCS2', 'J1772']",
Volvo_XC40_Recharge_Twin_Motor_BEV_2024_CA,Volvo,XC40 Recharge,Twin Motor,BEV,63500,4,402,4.8,2024,Crossover,82,11.0,200.0,2,5,452,1328,409,409,21.0,2650.0,2123.0,XC40 Recharge Twin Motor,All-Wheel Drive,,1,"['CCS2', 'J1772']",
Volvo_XC60_Recharge_PHEV_2025_CA,Volvo,XC60,Recharge Core,PHEV,59950,4,455,4.8,2025,Crossover,18,6.0,0.0,2,5,468,1395,58,896,31.0,2660.0,2141.0,XC60 Recharge Core,All-Wheel Drive,8.0,1,['J1772'],1580.0
Volvo_XC60_Recharge_Polestar_Engineered_PHEV_2025_CA,Volvo,XC60,Recharge Polestar Engineered,PHEV,92000,4,455,4.8,2025,Crossover,18,6.0,0.0,2,5,468,1395,58,896,31.0,2660.0,2141.0,XC60 Recharge Polestar Engineered,All-Wheel Drive,8.0,1,['J1772'],1580.0
Volvo_XC60_Recharge_Black_Edition_PHEV_2025_CA,Volvo,XC60,Recharge Ultra Black Edition,PHEV,83950,4,455,4.8,2025,Crossover,18,6.0,0.0,2,5,468,1395,58,896,31.0,2660.0,2141.0,XC60 Recharge Ultra Black Edition,All-Wheel Drive,8.0,1,['J1772'],1580.0
Volvo_XC90_Recharge_PHEV_2025_CA,Volvo,XC90,Recharge Ultra,PHEV,93450,4,455,5.3,2025,SUV,18,4.0,0.0,2,7,640,1816,53,856,34.0,2950.0,2290.0,XC90 Recharge Ultra,All-Wheel Drive,9.0,1,['J1772'],2250.0
